,IRASPSC,F450,F450_err,F450_qual,F850,F850_err,F850_qual,alpha,alpha_ci_low,alpha_ci_hi,alpha_ci_qual
0,IRAS00042+4248,364.20000000000005,121.4,-1,68.8,5.504,0,1.2393105229335697,-3.9471059562145507,5.0,1
1,IRAS00192-2020,251.55952182000001,83.85317394,-1,35.0,5.44,0,1.0032995091976615,-4.533085093273272,5.0,1
2,IRAS01159+7220,415.1503809000001,138.38346030000002,-1,110.7,8.856,0,1.4905487343494417,-3.2984706408235547,5.0,1
3,IRAS02316+6455,320.5432356,106.8477452,-1,40.3,5.029999999999999,0,0.9199375769260282,-4.702606850857091,5.0,1
4,IRAS02351-2711,599.3293305,199.7764435,-1,49.6,6.07,0,0.5766614422367301,-5.458525288825939,5.0,1
5,IRAS03149+3244,225.81646908,75.27215636,-1,14.16,4.72,-1,,,,-99
6,IRAS03170+3150,212.12732697,70.70910899,-1,13.649999999999999,4.55,-1,,,,-99
7,IRAS03206+6521,362.9808792,120.9936264,-1,11.7,2.86,0,-0.1157141634432853,-7.268427730733496,5.0,1
8,IRAS03229+4721,356.226,118.742,-1,182.5,14.6,0,2.0140216150774632,-2.1195095936315713,5.0,1
9,IRAS04166+4056,189.00075615,63.00025205,-1,14.4,4.65,0,0.5315802065858598,-5.794390165995368,5.0,1
10,IRAS04387-3819,752.3065085999999,250.76883619999998,-1,37.4,6.28,0,0.18393806983153754,-6.409338905163725,5.0,1
11,IRAS04566+5606,653.5387067,68.55306037999999,0,227.4,18.192,0,-1.6572470231572638,-2.1330090750810533,-1.182301239993454,0
12,IRAS05027-2158,381.18686729999996,127.06228909999999,-1,25.1,5.21,0,0.4125435537397819,-5.917415016114825,5.0,1
13,IRAS05028+0106,359.5427551,61.60219678000001,0,54.8,4.42,0,-2.9559425719197607,-3.6376292203109424,-2.2706183901462618,0
14,IRAS05073+5248,433.604781,144.534927,-1,59.5,5.46,0,1.0172601041574465,-4.5151710138543315,5.0,1
15,IRAS05090-1154,388.8036632999999,129.60122109999998,-1,39.4,5.110000000000001,0,0.7480753820915936,-5.10001997913524,5.0,1
16,IRAS05132+5331,233.99970609999997,61.66594211999999,0,68.4,5.472,0,-1.9279988140627295,-2.9147179752669596,-0.9367549901149379,0
17,IRAS05151+6312,195.55015257,65.18338419,-1,32.6,4.87,0,1.1247117190636768,-4.1697681857721856,5.0,1
18,IRAS05251-1244,415.088151,107.2548742,0,508.3,40.664,0,0.3197655783032905,-0.6582137665370353,1.295154778882896,0
19,IRAS05265-0443,694.2229302,231.40764339999998,-1,27.8,5.790000000000001,0,0.018110145041613457,-6.814317005856669,5.0,1
20,IRAS05292+1833,318.5733831,106.1911277,-1,22.1,5.030000000000001,0,0.5057169178731141,-5.848969385485947,5.0,1
21,IRAS05351-0147,252.05281872,84.01760624,-1,11.7,4.830000000000001,0,-3.248927749095152,-12.652504948683552,5.0,1
22,IRAS05411+6957,423.69280310000005,87.69216246999999,0,92.2,7.376,0,-2.401121705372747,-3.1999068289594472,-1.600740160895,0
23,IRAS05559+7430,245.5653621,65.33356213,0,44.6,5.17,0,-2.680820091028369,-3.726688024749636,-1.634961156784422,0
24,IRAS05592-0221,255.46610103,85.15536701,-1,12.0,2.58,0,0.14561469800489754,-6.529273685957481,5.0,1
