IRASPSC,SIMBAD ID,FWHM (arcseconds),Extent (arcseconds), Notes
IRAS 00205+5530,T Cas, 15.2,27 , "-"
IRAS 01556+4511,V370 And ,15.6,33 ,"-"
IRAS 03507+1115,IK Tau, 19.2,57 , "-"
IRAS 04020-1551,V Eri, 17.4,N ,"-"
IRAS 04566+5606,TX Cam, 15.3,39 ,"-"
IRAS 07120-4433,L$_2$ Pup ,21.4,33 , "Observed in DEATHSTAR"
IRAS 08003+3629,SV Lyn, 18.1,N ,"-"
IRAS 09448+1139,R Leo, 21.6,51 , "Observed in DEATHSTAR"
IRAS 09452+1330,IRC+10216 ,43.9,222 ,"-"
IRAS 10329-3918,U Ant, 40.8,63 ,"-"
IRAS 11461-3542,V919 Cen ,15.7,? ,"-"
IRAS 12277+0441,BK Vir, 14.2,N , "Observed in DEATHSTAR"
IRAS 13001+0527,RT Vir, 19.0,33 , "Observed in DEATHSTAR"
IRAS 13114-0232,SW Vir, 18.4,51 , "Observed in DEATHSTAR"
IRAS 13368-4941,V744 Cen ,13.4,? ,"-"
IRAS 13462-2807,W Hya ,18.3,45 , "Observed in DEATHSTAR"
IRAS 15492+4837,ST Her ,18.8,27 ,"-"
IRAS 16235+1900,U Her ,20.2,? ,"-"
IRAS 18359+0847,X Oph ,15.0,N ,"-"
IRAS 19039+0809,R Aql ,16.0,39 ,"-"
IRAS 19126-0708,W Aql ,18.0,63 ,"-"
IRAS 21088+6817,T Cep ,18.1,27 ,"-"
IRAS 21439-0226,EP Aqr ,15.6,45 ,"-"
IRAS 22196-4612,$pi_1$ Gru ,23.3,51 ,"-"
IRAS 23320+4316,LP And,18.2,63 ,"-"
